Date,Time,Event,Apartment Count,Change
2025-04-25,21:56:33,First Check,6,0
2025-04-25,21:56:48,First Check,6,0
2025-04-25,22:06:50,Check,6,0
2025-04-25,22:16:51,Check,6,0
2025-04-25,22:26:52,Check,6,0
2025-04-25,22:36:53,Check,6,0
2025-04-25,22:46:54,Check,6,0
2025-04-25,22:56:55,Check,6,0
2025-04-25,23:06:56,Check,6,0
2025-04-25,23:16:57,Check,6,0
2025-04-25,23:26:58,Check,6,0
2025-04-25,23:36:59,Check,6,0
2025-04-25,23:47:00,Check,6,0
2025-04-25,23:57:01,Check,6,0
2025-04-26,00:07:02,Check,6,0
2025-04-26,00:17:03,Check,6,0
2025-04-26,00:27:04,Check,6,0
2025-04-26,00:37:05,Check,6,0
2025-04-26,00:47:06,Check,6,0
2025-04-26,00:57:07,Check,6,0
2025-04-26,01:07:08,Check,6,0
2025-04-26,01:17:09,Check,6,0
2025-04-26,01:27:10,Check,6,0
2025-04-26,01:37:11,Check,6,0
2025-04-26,01:47:12,Check,6,0
2025-04-26,01:57:13,Check,6,0
2025-04-26,02:07:14,Check,6,0
2025-04-26,02:17:15,Check,6,0
2025-04-26,02:27:16,Check,6,0
2025-04-26,02:37:17,Check,6,0
2025-04-26,02:47:18,Check,6,0
2025-04-26,02:57:19,Check,6,0
2025-04-26,03:07:20,Check,6,0
2025-04-26,03:17:21,Check,6,0
2025-04-26,03:27:22,Check,6,0
2025-04-26,03:37:23,Check,6,0
2025-04-26,03:47:24,Check,6,0
2025-04-26,03:57:25,Check,6,0
2025-04-26,04:07:26,Check,6,0
2025-04-26,04:17:27,Check,6,0
2025-04-26,04:27:28,Check,6,0
2025-04-26,04:37:29,Check,6,0
2025-04-26,04:47:30,Check,6,0
2025-04-26,04:57:31,Check,6,0
2025-04-26,05:07:32,Check,6,0
2025-04-26,05:17:32,Check,6,0
2025-04-26,05:27:33,Check,6,0
2025-04-26,05:37:34,Check,6,0
2025-04-26,05:47:35,Check,6,0
2025-04-26,05:57:36,Check,6,0
2025-04-26,06:07:37,Check,6,0
2025-04-26,06:17:38,Check,6,0
2025-04-26,06:37:47,Check,6,0
